================ Training Loss (Wed Sep 29 14:38:01 2021) ================
   Avg Run Time (ms/batch): 30.890 roc: 0.490 max roc: 0.490
   Avg Run Time (ms/batch): 33.465 roc: 0.442 max roc: 0.490
   Avg Run Time (ms/batch): 31.992 roc: 0.379 max roc: 0.490
   Avg Run Time (ms/batch): 36.049 roc: 0.449 max roc: 0.490
   Avg Run Time (ms/batch): 30.111 roc: 0.489 max roc: 0.490
   Avg Run Time (ms/batch): 38.310 roc: 0.430 max roc: 0.490
   Avg Run Time (ms/batch): 31.331 roc: 0.448 max roc: 0.490
   Avg Run Time (ms/batch): 33.272 roc: 0.466 max roc: 0.490
   Avg Run Time (ms/batch): 31.518 roc: 0.480 max roc: 0.490
   Avg Run Time (ms/batch): 34.440 roc: 0.398 max roc: 0.490
   Avg Run Time (ms/batch): 38.858 roc: 0.495 max roc: 0.495
   Avg Run Time (ms/batch): 34.167 roc: 0.493 max roc: 0.495
   Avg Run Time (ms/batch): 35.038 roc: 0.503 max roc: 0.503
   Avg Run Time (ms/batch): 36.954 roc: 0.458 max roc: 0.503
   Avg Run Time (ms/batch): 36.761 roc: 0.400 max roc: 0.503
   Avg Run Time (ms/batch): 39.815 roc: 0.382 max roc: 0.503
   Avg Run Time (ms/batch): 35.970 roc: 0.526 max roc: 0.526
   Avg Run Time (ms/batch): 33.482 roc: 0.368 max roc: 0.526
   Avg Run Time (ms/batch): 33.044 roc: 0.409 max roc: 0.526
   Avg Run Time (ms/batch): 36.868 roc: 0.474 max roc: 0.526
================ Training Loss (Thu Sep 30 01:44:05 2021) ================
   Avg Run Time (ms/batch): 31.779 roc: 0.467 max roc: 0.467
   Avg Run Time (ms/batch): 37.173 roc: 0.475 max roc: 0.475
   Avg Run Time (ms/batch): 31.475 roc: 0.449 max roc: 0.475
   Avg Run Time (ms/batch): 33.212 roc: 0.368 max roc: 0.475
   Avg Run Time (ms/batch): 33.012 roc: 0.320 max roc: 0.475
   Avg Run Time (ms/batch): 29.481 roc: 0.388 max roc: 0.475
   Avg Run Time (ms/batch): 34.006 roc: 0.345 max roc: 0.475
   Avg Run Time (ms/batch): 40.681 roc: 0.433 max roc: 0.475
   Avg Run Time (ms/batch): 35.075 roc: 0.396 max roc: 0.475
   Avg Run Time (ms/batch): 40.657 roc: 0.404 max roc: 0.475
   Avg Run Time (ms/batch): 30.245 roc: 0.441 max roc: 0.475
   Avg Run Time (ms/batch): 32.028 roc: 0.365 max roc: 0.475
   Avg Run Time (ms/batch): 32.880 roc: 0.452 max roc: 0.475
   Avg Run Time (ms/batch): 34.169 roc: 0.479 max roc: 0.479
   Avg Run Time (ms/batch): 33.962 roc: 0.481 max roc: 0.481
   Avg Run Time (ms/batch): 35.205 roc: 0.460 max roc: 0.481
   Avg Run Time (ms/batch): 28.101 roc: 0.433 max roc: 0.481
   Avg Run Time (ms/batch): 35.832 roc: 0.382 max roc: 0.481
   Avg Run Time (ms/batch): 34.324 roc: 0.451 max roc: 0.481
   Avg Run Time (ms/batch): 38.584 roc: 0.462 max roc: 0.481
   Avg Run Time (ms/batch): 35.711 roc: 0.475 max roc: 0.481
   Avg Run Time (ms/batch): 35.812 roc: 0.420 max roc: 0.481
   Avg Run Time (ms/batch): 29.553 roc: 0.446 max roc: 0.481
   Avg Run Time (ms/batch): 34.470 roc: 0.498 max roc: 0.498
   Avg Run Time (ms/batch): 36.308 roc: 0.475 max roc: 0.498
   Avg Run Time (ms/batch): 28.821 roc: 0.474 max roc: 0.498
   Avg Run Time (ms/batch): 34.205 roc: 0.601 max roc: 0.601
   Avg Run Time (ms/batch): 33.201 roc: 0.418 max roc: 0.601
   Avg Run Time (ms/batch): 33.532 roc: 0.408 max roc: 0.601
   Avg Run Time (ms/batch): 30.269 roc: 0.391 max roc: 0.601
   Avg Run Time (ms/batch): 37.190 roc: 0.391 max roc: 0.601
   Avg Run Time (ms/batch): 32.789 roc: 0.397 max roc: 0.601
   Avg Run Time (ms/batch): 35.056 roc: 0.442 max roc: 0.601
   Avg Run Time (ms/batch): 33.959 roc: 0.407 max roc: 0.601
   Avg Run Time (ms/batch): 31.820 roc: 0.417 max roc: 0.601
   Avg Run Time (ms/batch): 35.136 roc: 0.438 max roc: 0.601
   Avg Run Time (ms/batch): 33.162 roc: 0.408 max roc: 0.601
   Avg Run Time (ms/batch): 29.035 roc: 0.509 max roc: 0.601
   Avg Run Time (ms/batch): 39.551 roc: 0.409 max roc: 0.601
   Avg Run Time (ms/batch): 31.975 roc: 0.523 max roc: 0.601
   Avg Run Time (ms/batch): 33.887 roc: 0.373 max roc: 0.601
   Avg Run Time (ms/batch): 32.711 roc: 0.407 max roc: 0.601
   Avg Run Time (ms/batch): 32.347 roc: 0.344 max roc: 0.601
   Avg Run Time (ms/batch): 39.184 roc: 0.503 max roc: 0.601
   Avg Run Time (ms/batch): 30.556 roc: 0.405 max roc: 0.601
   Avg Run Time (ms/batch): 29.328 roc: 0.368 max roc: 0.601
   Avg Run Time (ms/batch): 31.896 roc: 0.391 max roc: 0.601
   Avg Run Time (ms/batch): 36.833 roc: 0.380 max roc: 0.601
   Avg Run Time (ms/batch): 38.823 roc: 0.487 max roc: 0.601
   Avg Run Time (ms/batch): 34.577 roc: 0.383 max roc: 0.601
   Avg Run Time (ms/batch): 33.745 roc: 0.364 max roc: 0.601
   Avg Run Time (ms/batch): 28.708 roc: 0.297 max roc: 0.601
   Avg Run Time (ms/batch): 28.182 roc: 0.358 max roc: 0.601
   Avg Run Time (ms/batch): 28.404 roc: 0.359 max roc: 0.601
   Avg Run Time (ms/batch): 37.437 roc: 0.490 max roc: 0.601
   Avg Run Time (ms/batch): 34.587 roc: 0.386 max roc: 0.601
   Avg Run Time (ms/batch): 34.888 roc: 0.385 max roc: 0.601
   Avg Run Time (ms/batch): 37.839 roc: 0.378 max roc: 0.601
   Avg Run Time (ms/batch): 33.706 roc: 0.345 max roc: 0.601
   Avg Run Time (ms/batch): 37.790 roc: 0.341 max roc: 0.601
================ Training Loss (Wed Oct  6 02:08:29 2021) ================
================ Training Loss (Wed Oct  6 02:19:20 2021) ================
================ Training Loss (Wed Oct  6 02:28:14 2021) ================
================ Training Loss (Wed Oct  6 09:27:52 2021) ================
================ Training Loss (Wed Oct  6 09:36:54 2021) ================
================ Training Loss (Wed Oct  6 09:45:52 2021) ================
================ Training Loss (Wed Oct  6 10:07:52 2021) ================
================ Training Loss (Wed Oct  6 10:13:19 2021) ================
   Avg Run Time (ms/batch): 29.736 tp: 0.377 max tp: 0.377
   Avg Run Time (ms/batch): 40.079 tp: 0.510 max tp: 0.510
   Avg Run Time (ms/batch): 38.225 tp: 0.477 max tp: 0.510
   Avg Run Time (ms/batch): 32.989 tp: 0.427 max tp: 0.510
   Avg Run Time (ms/batch): 31.836 tp: 0.418 max tp: 0.510
   Avg Run Time (ms/batch): 33.362 tp: 0.437 max tp: 0.510
